,0,1,2,3
0,,,,
1,,fly,[ flai ],летать
2,,pilot,[ 'pailət ],пилот
3,,hospital,[ 'hɔspitl ],больница
4,,estate,[ is'teit ],"поместье, имущество, сословие"
5,,apartment,[ ə'pɑ:tmənt ],квартира
6,,bakery,[ 'beikəri ],пекарня
7,,temple,[ templ ],храм
8,,church,[ ʧə:ʧ ],церковь
9,,dentist,[ 'dentist ],зубной врач
10,,doctor,[ 'dɔktə ],"доктор, врач"
11,,nurse,[ nə:s ],няня (не nanny)
12,,cup,[ kʌp ],чашка
13,,cupboard,[ 'kʌbəd ],буфет
14,,glass,[ glɑ:s ],"стакан, бокал"
15,,plate,[ pleit ],тарелка
16,,saucepan,[ 'sɔ:spən ],кастрюля
17,,jug,[ ʤʌg ],кувшин
18,,kettle,[ ketl ],чайник
19,,sink,[ siŋk ],тонуть
20,,tap,[ tæp ],постучать
21,,telephone,[ 'telifəun ],"телефон, звонить по телефону"
22,,knife,[ naif ],нож
23,,plane,[ plein ],самолет
24,,photographer,[ fə'tɔgrəfə ],фотограф
25,,reporter,[ ri'pɔ:tə ],репортер
26,,postman,[ 'pəustman ],почтальон
27,,cabbage,[ 'kæbiʤ ],капуста
28,,fork,[ fɔ:k ],вилка
29,,spoon,[ spu:n ],ложка
30,,waiter,[ 'weitə ],официант
31,,waitress,[ weits ],официантка
32,,market,[ 'mɑ:kit ],рынок
33,,actor,[ 'æktə ],актер
34,,drugstore,[ 'drʌg‚stɔ:r ],аптека
35,,pedestrian,[ pi'destriən ],пешеход
36,,block,[ blɔk ],"блок, квартал"
37,,bus,[ bʌs ],автобус
38,,car,[ kɑ: ],машина
39,,stadium,[ 'steidjəm ],стадион
40,,street,[ stri:t ],улица
41,,taxi,[ 'tæksi ],такси
42,,tram,[ træm ],трамвай
43,,underground,[ 'ʌndəgraund ],"метрополитен, подземный, подпольный"
44,,van,[ væn ],"фургон, багажный вагон"
45,,park,[ pɑ:k ],"парк, (при)парковать(ся)"
46,,boulevard,[ 'bu:lvɑ: ],бульвар
47,,truck,[ trʌk ],грузовик
48,,bicycle,[ 'baisikl ],велосипед
49,,train,[ trein ],"поезд, привлекать, воспитывать"
50,,coach,[ kəuʧ ],"тренировать, инструктор"
51,показать еще,показать еще,показать еще,показать еще
